"agent","p_model","subject","model","competence_structure","scenario"
"Xa",0.5,401,"Equality",1,1
"Xb",0.5,401,"Equality",1,1
"Ya",0.5,401,"Equality",1,1
"Yb",0.5,401,"Equality",1,1
"Xa",0.5,401,"Equality",1,2
"Xb",0.5,401,"Equality",1,2
"Ya",0.5,401,"Equality",1,2
"Yb",0.5,401,"Equality",1,2
"Xa",0.5,401,"Equality",1,3
"Xb",0.5,401,"Equality",1,3
"Ya",0.5,401,"Equality",1,3
"Yb",0.5,401,"Equality",1,3
"Xa",0.5,401,"Equality",2,1
"Xb",0.5,401,"Equality",2,1
"Ya",0.5,401,"Equality",2,1
"Yb",0.5,401,"Equality",2,1
"Xa",0.5,401,"Equality",2,2
"Xb",0.5,401,"Equality",2,2
"Ya",0.5,401,"Equality",2,2
"Yb",0.5,401,"Equality",2,2
"Xa",0.5,401,"Equality",2,3
"Xb",0.5,401,"Equality",2,3
"Ya",0.5,401,"Equality",2,3
"Yb",0.5,401,"Equality",2,3
"Xa",0.5,401,"Equality",3,1
"Xb",0.5,401,"Equality",3,1
"Ya",0.5,401,"Equality",3,1
"Yb",0.5,401,"Equality",3,1
"Xa",0.5,401,"Equality",3,2
"Xb",0.5,401,"Equality",3,2
"Ya",0.5,401,"Equality",3,2
"Yb",0.5,401,"Equality",3,2
"Xa",0.5,401,"Equality",3,3
"Xb",0.5,401,"Equality",3,3
"Ya",0.5,401,"Equality",3,3
"Yb",0.5,401,"Equality",3,3
"Xa",1.10070480570186e-08,401,"Equity",1,1
"Ya",0.999999988992952,401,"Equity",1,1
"Xb",1.70589376648342e-11,401,"Equity",1,1
"Yb",0.999999999982941,401,"Equity",1,1
"Xa",4.32146524119845e-14,401,"Equity",1,2
"Ya",0.999999999999957,401,"Equity",1,2
"Xb",6.75186639969473e-17,401,"Equity",1,2
"Yb",1,401,"Equity",1,2
"Xa",1.70589376648342e-11,401,"Equity",1,3
"Ya",0.999999999982941,401,"Equity",1,3
"Xb",7.23417075052524e-16,401,"Equity",1,3
"Yb",0.999999999999999,401,"Equity",1,3
"Xa",0.5,401,"Equity",2,1
"Ya",0.5,401,"Equity",2,1
"Xb",1.10070480570186e-08,401,"Equity",2,1
"Yb",0.999999988992952,401,"Equity",2,1
"Xa",0.5,401,"Equity",2,2
"Ya",0.5,401,"Equity",2,2
"Xb",4.32146524119846e-14,401,"Equity",2,2
"Yb",0.999999999999957,401,"Equity",2,2
"Xa",0.5,401,"Equity",2,3
"Ya",0.5,401,"Equity",2,3
"Xb",1.70589376648341e-11,401,"Equity",2,3
"Yb",0.999999999982941,401,"Equity",2,3
"Xa",1.10070480570186e-08,401,"Equity",3,1
"Ya",0.999999988992952,401,"Equity",3,1
"Xb",0.999999999982941,401,"Equity",3,1
"Yb",1.70589376648342e-11,401,"Equity",3,1
"Xa",0.00341072677254412,401,"Equity",3,2
"Ya",0.996589273227456,401,"Equity",3,2
"Xb",1,401,"Equity",3,2
"Yb",6.75186639969474e-17,401,"Equity",3,2
"Xa",0.00341072677254412,401,"Equity",3,3
"Ya",0.996589273227456,401,"Equity",3,3
"Xb",0.999999999857604,401,"Equity",3,3
"Yb",1.42396440189007e-10,401,"Equity",3,3
"Xa",0.5,401,"Exploitation",1,1
"Ya",0.5,401,"Exploitation",1,1
"Xb",0.5,401,"Exploitation",1,1
"Yb",0.5,401,"Exploitation",1,1
"Xa",0.5,401,"Exploitation",1,2
"Ya",0.5,401,"Exploitation",1,2
"Xb",0.5,401,"Exploitation",1,2
"Yb",0.5,401,"Exploitation",1,2
"Xa",0.5,401,"Exploitation",1,3
"Ya",0.5,401,"Exploitation",1,3
"Xb",0.5,401,"Exploitation",1,3
"Yb",0.5,401,"Exploitation",1,3
"Xa",0.5,401,"Exploitation",2,1
"Ya",0.5,401,"Exploitation",2,1
"Xb",0.5,401,"Exploitation",2,1
"Yb",0.5,401,"Exploitation",2,1
"Xa",0.5,401,"Exploitation",2,2
"Ya",0.5,401,"Exploitation",2,2
"Xb",0.5,401,"Exploitation",2,2
"Yb",0.5,401,"Exploitation",2,2
"Xa",0.5,401,"Exploitation",2,3
"Ya",0.5,401,"Exploitation",2,3
"Xb",0.5,401,"Exploitation",2,3
"Yb",0.5,401,"Exploitation",2,3
"Xa",0.5,401,"Exploitation",3,1
"Ya",0.5,401,"Exploitation",3,1
"Xb",0.5,401,"Exploitation",3,1
"Yb",0.5,401,"Exploitation",3,1
"Xa",0.5,401,"Exploitation",3,2
"Ya",0.5,401,"Exploitation",3,2
"Xb",0.5,401,"Exploitation",3,2
"Yb",0.5,401,"Exploitation",3,2
"Xa",0.5,401,"Exploitation",3,3
"Ya",0.5,401,"Exploitation",3,3
"Xb",0.5,401,"Exploitation",3,3
"Yb",0.5,401,"Exploitation",3,3
"Xa",0.5,401,"General",1,1
"Ya",0.5,401,"General",1,1
"Xb",0.5,401,"General",1,1
"Yb",0.5,401,"General",1,1
"Xa",0.5,401,"General",1,2
"Ya",0.5,401,"General",1,2
"Xb",0.5,401,"General",1,2
"Yb",0.5,401,"General",1,2
"Xa",0.5,401,"General",1,3
"Ya",0.5,401,"General",1,3
"Xb",0.5,401,"General",1,3
"Yb",0.5,401,"General",1,3
"Xa",0.5,401,"General",2,1
"Ya",0.5,401,"General",2,1
"Xb",0.5,401,"General",2,1
"Yb",0.5,401,"General",2,1
"Xa",0.5,401,"General",2,2
"Ya",0.5,401,"General",2,2
"Xb",0.5,401,"General",2,2
"Yb",0.5,401,"General",2,2
"Xa",0.5,401,"General",2,3
"Ya",0.5,401,"General",2,3
"Xb",0.5,401,"General",2,3
"Yb",0.5,401,"General",2,3
"Xa",0.5,401,"General",3,1
"Ya",0.5,401,"General",3,1
"Xb",0.5,401,"General",3,1
"Yb",0.5,401,"General",3,1
"Xa",0.5,401,"General",3,2
"Ya",0.5,401,"General",3,2
"Xb",0.5,401,"General",3,2
"Yb",0.5,401,"General",3,2
"Xa",0.5,401,"General",3,3
"Ya",0.5,401,"General",3,3
"Xb",0.5,401,"General",3,3
"Yb",0.5,401,"General",3,3
"Xa",0.881308715451303,401,"Learning",1,1
"Ya",0.118691284548697,401,"Learning",1,1
"Xb",0.926380616153426,401,"Learning",1,1
"Yb",0.0736193838465736,401,"Learning",1,1
"Xa",0.961620594090285,401,"Learning",1,2
"Ya",0.0383794059097152,401,"Learning",1,2
"Xb",0.977342178846807,401,"Learning",1,2
"Yb",0.0226578211531931,401,"Learning",1,2
"Xa",0.926380616153426,401,"Learning",1,3
"Ya",0.0736193838465736,401,"Learning",1,3
"Xb",0.971266542338354,401,"Learning",1,3
"Yb",0.0287334576616457,401,"Learning",1,3
"Xa",0.5,401,"Learning",2,1
"Ya",0.5,401,"Learning",2,1
"Xb",0.881308715451303,401,"Learning",2,1
"Yb",0.118691284548697,401,"Learning",2,1
"Xa",0.5,401,"Learning",2,2
"Ya",0.5,401,"Learning",2,2
"Xb",0.961620594090285,401,"Learning",2,2
"Yb",0.0383794059097152,401,"Learning",2,2
"Xa",0.5,401,"Learning",2,3
"Ya",0.5,401,"Learning",2,3
"Xb",0.926380616153426,401,"Learning",2,3
