"subject","model","beta","log_likelihood"
401,"Equality",0,-56.1449216253556
401,"Equity",2.5,-43.2051326341326
401,"Exploitation",0,-56.1449216253556
401,"General",0,-56.1449216253556
401,"Learning",0.5,-55.330148757543
401,"Planning",5,-40.4247674457603
402,"Equality",0,-56.1449216253556
402,"Equity",2,-47.0540675263042
402,"Exploitation",0,-56.1449216253556
402,"General",0,-56.1449216253556
402,"Learning",1.5,-53.0390487456891
402,"Planning",8.5,-20.422784824251
403,"Equality",0,-56.1449216253556
403,"Equity",2,-46.5340675263042
403,"Exploitation",0,-56.1449216253556
403,"General",0.5,-55.3834814073075
403,"Learning",0.5,-55.930148757543
403,"Planning",2,-52.997590690713
404,"Equality",0,-56.1449216253556
404,"Equity",2.5,-41.2301326341326
404,"Exploitation",0,-56.1449216253556
404,"General",0,-56.1449216253556
404,"Learning",1,-54.0403731994091
404,"Planning",8,-24.7070365361153
405,"Equality",0,-56.1449216253556
405,"Equity",3,-39.8006287894951
405,"Exploitation",0,-56.1449216253556
405,"General",0,-56.1449216253556
405,"Learning",1,-54.8603731994091
405,"Planning",7.5,-26.739650081113
406,"Equality",0,-56.1449216253556
406,"Equity",3,-40.8206287894951
406,"Exploitation",0,-56.1449216253556
406,"General",0,-56.1449216253556
406,"Learning",1,-53.8803731994091
406,"Planning",10,-12.155991320922
407,"Equality",0,-56.1449216253556
407,"Equity",2.5,-41.2551326341326
407,"Exploitation",0,-56.1449216253556
407,"General",0,-56.1449216253556
407,"Learning",1,-54.2103731994091
407,"Planning",10,-12.155991320922
408,"Equality",0,-56.1449216253556
408,"Equity",2.5,-41.2301326341326
408,"Exploitation",0,-56.1449216253556
408,"General",0,-56.1449216253556
408,"Learning",1,-54.0403731994091
408,"Planning",10,-3.75599132092199
409,"Equality",0,-56.1449216253556
409,"Equity",4,-34.2619000495136
409,"Exploitation",0,-56.1449216253556
409,"General",0,-56.1449216253556
409,"Learning",2,-50.6199175518355
409,"Planning",7.5,-25.014650081113
410,"Equality",0,-56.1449216253556
410,"Equity",0,-56.1449216253556
410,"Exploitation",1.5,-51.913476014878
410,"General",0.5,-55.4434814073075
410,"Learning",4.5,-39.3159723649065
410,"Planning",1.5,-54.3437149422812
411,"Equality",0,-56.1449216253556
411,"Equity",3,-40.8206287894951
411,"Exploitation",0,-56.1449216253556
411,"General",0,-56.1449216253556
411,"Learning",1,-53.8803731994091
411,"Planning",10,-12.155991320922
412,"Equality",0,-56.1449216253556
412,"Equity",3.5,-37.5504211310804
412,"Exploitation",0,-56.1449216253556
412,"General",0,-56.1449216253556
412,"Learning",1.5,-52.2890487456891
412,"Planning",8,-22.7070365361153
413,"Equality",0,-56.1449216253556
413,"Equity",2,-45.1940675263042
413,"Exploitation",0,-56.1449216253556
413,"General",0,-56.1449216253556
413,"Learning",2,-51.6199175518355
413,"Planning",7,-27.6132348399141
414,"Equality",0,-56.1449216253556
414,"Equity",1.5,-50.7426792690678
414,"Exploitation",0,-56.1449216253556
414,"General",0.5,-55.7934814073074
414,"Learning",2,-50.8399175518355
414,"Planning",3,-50.0695874219319
415,"Equality",0,-56.1449216253556
415,"Equity",1,-52.9594772611993
415,"Exploitation",0,-56.1449216253556
415,"General",1,-52.8339108325693
415,"Learning",2,-49.7999175518354
415,"Planning",1,-55.6295156480849
416,"Equality",0,-56.1449216253556
416,"Equity",0,-56.1449216253556
416,"Exploitation",1,-54.0136448700215
416,"General",1.5,-48.129899229497
416,"Learning",3,-44.5841631418184
416,"Planning",0.5,-55.9415901523299
417,"Equality",0,-56.1449216253556
417,"Equity",0,-56.1449216253556
417,"Exploitation",0.5,-55.5488136516196
417,"General",1,-54.0439108325692
417,"Learning",1,-55.2003731994091
417,"Planning",0.5,-55.8065901523299
418,"Equality",0,-56.1449216253556
418,"Equity",1.5,-51.1476792690679
418,"Exploitation",0,-56.1449216253556
418,"General",0,-56.1449216253556
418,"Learning",1,-54.0003731994091
418,"Planning",3.5,-47.4159516772309
419,"Equality",0,-56.1449216253556
419,"Equity",0,-56.1449216253556
419,"Exploitation",0,-56.1449216253556
419,"General",0,-56.1449216253556
419,"Learning",0,-56.1449216253556
419,"Planning",0,-56.1449216253556
420,"Equality",0,-56.1449216253556
420,"Equity",2,-44.8340675263042
420,"Exploitation",0,-56.1449216253556
420,"General",0,-56.1449216253556
420,"Learning",1.5,-52.4540487456891
420,"Planning",6.5,-31.5369610515886
421,"Equality",0,-56.1449216253556
421,"Equity",0,-56.1449216253556
421,"Exploitation",0.5,-55.8538136516197
421,"General",0.5,-55.6134814073075
421,"Learning",0.5,-56.020148757543
421,"Planning",0.5,-56.0365901523299
422,"Equality",0,-56.1449216253556
422,"Equity",1.5,-48.9276792690679
422,"Exploitation",0,-56.1449216253556
422,"General",1.5,-51.249899229497
422,"Learning",2.5,-48.19736356987
422,"Planning",2,-53.317590690713
423,"Equality",0,-56.1449216253556
423,"Equity",0.5,-55.624040274033
423,"Exploitation",1,-55.2736448700215
423,"General",2,-44.2092374051018
