"exp","subject","trial_id","competence_structure","scenario","round","Xa","Xb","Ya","Yb","trained","weight_selected","assign_dim_a","assign_dim_b","passed_attention"
1,1,1,3,2,0,5,5,2,20,NA,NA,NA,NA,NA
1,1,1,3,2,1,5.4,5,2,20,"Xa",2,NA,NA,NA
1,1,1,3,2,2,5.4,5,2,20.5,"Yb",10,NA,NA,NA
1,1,1,3,2,3,5.77,5,2,20.5,"Xa",2,NA,NA,NA
1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,1,2,3,1,0,10,5,2,15,NA,NA,NA,NA,NA
1,1,2,3,1,1,11,5,2,15,"Xa",10,NA,NA,NA
1,1,2,3,1,2,11.91,5,2,15,"Xa",10,NA,NA,NA
1,1,2,3,1,3,12.75,5,2,15,"Xa",10,NA,NA,NA
1,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,1,3,3,3,0,5,10,2,20,NA,NA,NA,NA,NA
1,1,3,3,3,1,5,10,3,20,"Ya",2,NA,NA,NA
1,1,3,3,3,2,5,10,3.67,20,"Ya",2,NA,NA,NA
1,1,3,3,3,3,5,10,4.21,20,"Ya",2,NA,NA,NA
1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,1,4,2,3,0,5,15,5,5,NA,NA,NA,NA,NA
1,1,4,2,3,1,5,15,5.4,5,"Ya",2,NA,NA,NA
1,1,4,2,3,2,5,15,5.77,5,"Ya",2,NA,NA,NA
1,1,4,2,3,3,5,15,6.12,5,"Ya",2,NA,NA,NA
1,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,"Y","X",NA
1,1,5,1,1,0,10,15,2,5,NA,NA,NA,NA,NA
1,1,5,1,1,1,11,15,2,5,"Xa",10,NA,NA,NA
1,1,5,1,1,2,11.91,15,2,5,"Xa",10,NA,NA,NA
1,1,5,1,1,3,12.75,15,2,5,"Xa",10,NA,NA,NA
1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,1,6,1,3,0,15,20,5,6,NA,NA,NA,NA,NA
1,1,6,1,3,1,15.67,20,5,6,"Xa",10,NA,NA,NA
1,1,6,1,3,2,16.31,20,5,6,"Xa",10,NA,NA,NA
1,1,6,1,3,3,16.92,20,5,6,"Xa",10,NA,NA,NA
1,1,6,1,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,1,7,1,2,0,15,20,2,5,NA,NA,NA,NA,NA
1,1,7,1,2,1,15.67,20,2,5,"Xa",10,NA,NA,NA
1,1,7,1,2,2,16.31,20,2,5,"Xa",10,NA,NA,NA
1,1,7,1,2,3,16.92,20,2,5,"Xa",10,NA,NA,NA
1,1,7,1,2,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,1,8,2,1,0,2,10,2,2,NA,NA,NA,NA,NA
1,1,8,2,1,1,2,10,3,2,"Ya",2,NA,NA,NA
1,1,8,2,1,2,2,10,3.67,2,"Ya",2,NA,NA,NA
